"","program_name","description","leisure_arts_dum","academics_dum","community_service_dum","professional_skill_dum"
"13","Maker May WEEK 4: REIMAGINING MASKS WITH ELIZABETH FLAUTO","Elizabeth Flauto is a theatrical costume craftsperson with a specialty in hats and masks. Recent credits include Hamilton and Charlie and the Chocolate Factory on Broadway, A Doll's House Part 2, Guards at the Taj and The Doppelgänger at Steppenwolf. Join Elizabeth as she reflects on her career, gives a tour of her home studio and challenges us to reimagine our relationship to masks, our current protective gear.",1,0,0,1
"14","STEAM Summe Academy 2020","Our STEAM Summer Academy will offer high school students the opportunities to participate virtually in Robotics, Architecture, Coding Microcontrollers, personal development and college readiness activities. All activities will take place on virtual spaces from June 22nd to July 31st, 2020.

*Open to High School students in Chicago Public School and District 201.",0,1,0,1
"15","IGNITEx312","IGNITEx312 is a series of inspiring workshops designed to ignite your passion and kickstart your goals through Courage, Self-Care and Community. Through this month long experience, participants get clear on their goals, meet inspiring mentors making a difference in Chicago and get the chance to apply for a $1000 scholarship to the educational experience of your choice. You'll participate in 3-4 workshops each week led by Chicago artists, marketers, business leaders and power-players. At the end of our 4 week session, we’ll help you craft a scholarship application that will wow our committee for the educational opportunity of your choice.",0,0,1,1
"16","Territory Urban Design Team - Austin","Want to transform your world? Then do it! You have unique experiences, creativity, and curiosity that are essential to designing and building public spaces that work. If you are interested in art, architecture, urban planning, community organizing, or public health, join Territory and learn how to create fun, safe, and welcoming spaces for teens in your community. Draw your ideas, and take a stand for teens where you live. Create a community presentation and share your vision for the future with architects, urban planners, and your neighbors.",1,1,1,1
"17","Shedd Aquarium Virtual Teen Learning Lab","<p>To celebrate World Oceans Day, virtual Teen Learning Lab workshops in June will focus on the importance of the ocean and how we can work together to keep marine ecosystems healthy. </p>",1,1,0,0
"18","Summer Splash Camp: Stay Home Edition","<p>Are you ready to make a splash? This summer, join Wellington the penguin and dive into the world of aquatic animals with Summer Splash Camp: Stay Home Edition!</p><p>This week of virtual summer camp will transport your camper to Shedd Aquarium where they will explore the impressive world of aquatic animals and uncover the adaptations that will make them say “WOW!” Your camper will look nature in the eye as they meet animals up-close, explore Shedd Aquarium habitats, and participate in hands-on activities, games, crafts, and more! Each session is designed to be fully engaging for your camper. Campers will make discoveries, build friendships and have fun!</p><p>We look forward to celebrating animals in a whole new way with your camper this summer!</p>",1,1,0,0
"19","Summer Programs","M-F GCYG will have various clubs running from the hours of 10:30a-5p.  Program areas include sports, dance, art, technology, and recreation. Please log on to our website to get more information!",1,0,0,1
"20","Virtual Workshops and Mentoring Opportunities","With the onset of COVID-19, ChickTech has been working diligently to provide our High School participants with additional virtual learning resources. We know that your lives have changed and we hope that our virtual community can provide you with additional engaging resources and support. 

We would like to invite you to participate in our virtual workshops and mentoring opportunities that began the week of April 6th. Workshops take place every other week on Tuesdays and group mentorships with influential industry professionals will be held every other Friday. Further event details will be sent out to participants based on the events you choose to attend.",0,1,0,1
"21","Design a Robot","This program is only for middle school students. The class is focused on using TinkerCAD online to design a robot, learn about basic programming, and thinking about technology playing a new role in our daily lives.",0,1,0,1
"22","Digital Architecture","Discovering ways architecture has been shaped by different cultures, inspiring students to design the spaces and places they want in their lives. This course is only for middle school students.",0,0,1,1
"23","Festival of Sound","Have fun making podcasts, music, sound effects, and more in a class that focuses on the variety of ways sound can be made into art. This course is for middle school students.",1,0,0,1
"24","ReMobilizing the Future","What will the world of 2050 be like? How will our future be decided? How do we build a movement toward a sustainable future? ReMobilizing the Future is a 4 week hands-on, project-based learning class introducing students to government and what they can do at each level to enact meaningful change for a sustainable future.",0,1,0,1
"25","ReDesigning The Future","What will future cities look like? How do we redesign systems for a sustainable future? In this course, you will study how Earth’s systems interact, and how humans are incorporating our understanding of biology into our built environments through biomimicry. With a focus on water, energy and food, you will see how our intersecting systems can be designed for optimal efficiency.",0,1,0,1
"26","Global Peace","Conflict can turn violent quickly, but change can happen without harm. This four-week project-based workshop gives students experience organizing and realizing a nonviolent intervention in their community with real-world implications using Gandhi’s four principles of nonviolent movement building.",0,1,1,0
"27","Leadership Camp (ages 13-15) at Maggie Daley","Price:$50.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"28","Teen Camp (ages 13-15) at Austin Town Hall","Price:$110.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"29","Teen Camp (ages 13-15) at Columbus","Price:$110.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"30","Teen Camp (ages 13-15) at Garfield","Price:$150.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"31","Teen Camp (ages 13-15) at Homan Square","Price:$150.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"32","Teen Camp (ages 13-15) at Kennicott","Price:$230.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"33","Teen Camp (ages 13-15) at La Follette","Price:$110.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"34","Teen Camp (ages 13-15) at Moore","Price:$75.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"35","Teen Camp (ages 13-15) at Piotrowski","Price:$160.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"36","Teen Camp (ages 13-15) at Taylor","Price:$110.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"37","Teen Camp (ages 13-15) at Tilton","Price:$80.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"38","Day Camp (age 10) at Russell Square","Price:$110.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"39","Day Camp (age 12) at Avalon","Price:$168.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"40","Day Camp (age 6) at Bessemer","Price:$110.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"41","Day Camp (age 6) at Carver","Price:$70.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"42","Day Camp (age 6) at Portage","Price:$208.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"43","Day Camp (age 6-7) at Owens","Price:$148.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"44","Day Camp (age 7) at Portage","Price:$208.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"45","Day Camp (age 9) at Russell Square","Price:$110.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"46","Day Camp (ages 10-11) at Avalon","Price:$168.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"47","Day Camp (ages 10-11) at Blackhawk","Price:$148.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"48","Day Camp (ages 10-12) at Berger","Price:$153.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"49","Day Camp (ages 10-12) at Clarendon","Price:$70.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"50","Day Camp (ages 10-12) at Cooper","Price:$63.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"51","Day Camp (ages 10-12) at Dunham","Price:$208.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"52","Day Camp (ages 10-12) at Green Briar","Price:$180.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"53","Day Camp (ages 10-12) at Hamlin","Price:$180.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"54","Day Camp (ages 10-12) at Independence","Price:$208.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"55","Day Camp (ages 10-12) at Jefferson","Price:$208.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"56","Day Camp (ages 10-12) at Margate","Price:$185.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
